journal	year	n_articles
Bioinformatics (Oxford, England)	2000	6
Bioinformatics (Oxford, England)	2001	18
Bioinformatics (Oxford, England)	2002	62
Bioinformatics (Oxford, England)	2003	110
Bioinformatics (Oxford, England)	2004	119
Bioinformatics (Oxford, England)	2005	166
Bioinformatics (Oxford, England)	2006	112
Bioinformatics (Oxford, England)	2007	132
Bioinformatics (Oxford, England)	2008	80
Bioinformatics (Oxford, England)	2009	68
Bioinformatics (Oxford, England)	2010	66
Bioinformatics (Oxford, England)	2011	51
Bioinformatics (Oxford, England)	2012	33
Bioinformatics (Oxford, England)	2013	29
Bioinformatics (Oxford, England)	2014	23
Bioinformatics (Oxford, England)	2015	20
Bioinformatics (Oxford, England)	2016	15
Bioinformatics (Oxford, England)	2017	15
Bioinformatics (Oxford, England)	2018	10
Bioinformatics (Oxford, England)	2019	14
Bioinformatics (Oxford, England)	2020	7
Bioinformatics (Oxford, England)	2021	4
Bioinformatics (Oxford, England)	2022	10
Bioinformatics (Oxford, England)	2023	3
Bioinformatics (Oxford, England)	2024	2
Briefings in bioinformatics	2000	2
Briefings in bioinformatics	2001	6
Briefings in bioinformatics	2002	1
Briefings in bioinformatics	2003	5
Briefings in bioinformatics	2004	1
Briefings in bioinformatics	2005	6
Briefings in bioinformatics	2006	3
Briefings in bioinformatics	2007	5
Briefings in bioinformatics	2008	1
Briefings in bioinformatics	2009	6
Briefings in bioinformatics	2010	5
Briefings in bioinformatics	2011	5
Briefings in bioinformatics	2012	8
Briefings in bioinformatics	2013	4
Briefings in bioinformatics	2014	1
Briefings in bioinformatics	2015	3
Briefings in bioinformatics	2016	11
Briefings in bioinformatics	2017	5
Briefings in bioinformatics	2018	4
Briefings in bioinformatics	2019	3
Briefings in bioinformatics	2020	3
Briefings in bioinformatics	2021	10
Briefings in bioinformatics	2022	1
Briefings in bioinformatics	2023	1
Briefings in bioinformatics	2024	4
Briefings in bioinformatics	2025	5
Genome biology	2001	19
Genome biology	2002	37
Genome biology	2003	35
Genome biology	2004	32
Genome biology	2005	30
Genome biology	2006	26
Genome biology	2007	60
Genome biology	2008	28
Genome biology	2009	16
Genome biology	2010	12
Genome biology	2011	8
Genome biology	2012	3
Genome biology	2013	1
Genome biology	2014	9
Genome biology	2015	3
Genome biology	2016	3
Genome biology	2017	3
Genome biology	2018	1
Genome biology	2019	1
Genome biology	2020	1
Genome biology	2021	3
Genome biology	2022	1
Genome biology	2023	2
Genome biology	2024	1
Genome research	2000	17
Genome research	2001	18
Genome research	2002	24
Genome research	2003	36
Genome research	2004	26
Genome research	2005	13
Genome research	2006	18
Genome research	2007	20
Genome research	2008	12
Genome research	2009	14
Genome research	2010	15
Genome research	2011	10
Genome research	2012	7
Genome research	2013	2
Genome research	2015	2
Genome research	2016	1
Genome research	2017	1
Genome research	2021	2
Genome research	2024	1
Genome research	2025	1
Nature biotechnology	2000	4
Nature biotechnology	2001	6
Nature biotechnology	2002	10
Nature biotechnology	2003	5
Nature biotechnology	2004	5
Nature biotechnology	2005	4
Nature biotechnology	2006	17
Nature biotechnology	2007	5
Nature biotechnology	2008	7
Nature biotechnology	2009	3
Nature biotechnology	2010	2
Nature biotechnology	2011	6
Nature biotechnology	2012	3
Nature biotechnology	2013	1
Nature biotechnology	2014	3
Nature biotechnology	2015	2
Nature biotechnology	2020	2
Nature methods	2004	4
Nature methods	2005	8
Nature methods	2006	3
Nature methods	2007	7
Nature methods	2008	6
Nature methods	2009	2
Nature methods	2010	2
Nature methods	2011	2
Nature methods	2012	1
Nature methods	2014	2
Nature methods	2015	2
Nature methods	2017	1
Nature methods	2025	1
Nucleic acids research	2000	18
Nucleic acids research	2001	33
Nucleic acids research	2002	36
Nucleic acids research	2003	63
Nucleic acids research	2004	80
Nucleic acids research	2005	91
Nucleic acids research	2006	72
Nucleic acids research	2007	76
Nucleic acids research	2008	68
Nucleic acids research	2009	48
Nucleic acids research	2010	48
Nucleic acids research	2011	49
Nucleic acids research	2012	33
Nucleic acids research	2013	42
Nucleic acids research	2014	18
Nucleic acids research	2015	20
Nucleic acids research	2016	11
Nucleic acids research	2017	14
Nucleic acids research	2018	12
Nucleic acids research	2019	11
Nucleic acids research	2020	7
Nucleic acids research	2021	9
Nucleic acids research	2022	3
Nucleic acids research	2023	5
Nucleic acids research	2024	6
Nucleic acids research	2025	5
PLoS computational biology	2006	6
PLoS computational biology	2007	11
PLoS computational biology	2008	12
PLoS computational biology	2009	11
PLoS computational biology	2010	11
PLoS computational biology	2011	6
PLoS computational biology	2012	11
PLoS computational biology	2013	6
PLoS computational biology	2014	6
PLoS computational biology	2015	3
PLoS computational biology	2017	3
PLoS computational biology	2018	3
PLoS computational biology	2019	3
PLoS computational biology	2020	3
PLoS computational biology	2021	1
PLoS computational biology	2022	2
PLoS computational biology	2024	2
