software	year	n_articles
Ballgown	2000	0
Ballgown	2001	0
Ballgown	2002	0
Ballgown	2003	0
Ballgown	2004	0
Ballgown	2005	0
Ballgown	2006	0
Ballgown	2007	0
Ballgown	2008	0
Ballgown	2009	0
Ballgown	2010	0
Ballgown	2011	0
Ballgown	2012	0
Ballgown	2013	0
Ballgown	2014	2
Ballgown	2015	1
Ballgown	2016	12
Ballgown	2017	49
Ballgown	2018	130
Ballgown	2019	279
Ballgown	2020	414
Ballgown	2021	599
Ballgown	2022	696
Ballgown	2023	584
Ballgown	2024	528
Ballgown	2025	409
CAP3	2000	1
CAP3	2001	3
CAP3	2002	5
CAP3	2003	7
CAP3	2004	16
CAP3	2005	27
CAP3	2006	33
CAP3	2007	65
CAP3	2008	71
CAP3	2009	84
CAP3	2010	117
CAP3	2011	138
CAP3	2012	165
CAP3	2013	180
CAP3	2014	195
CAP3	2015	195
CAP3	2016	159
CAP3	2017	145
CAP3	2018	128
CAP3	2019	143
CAP3	2020	143
CAP3	2021	133
CAP3	2022	128
CAP3	2023	135
CAP3	2024	120
CAP3	2025	99
Cell Ranger	2000	0
Cell Ranger	2001	0
Cell Ranger	2002	0
Cell Ranger	2003	0
Cell Ranger	2004	0
Cell Ranger	2005	0
Cell Ranger	2006	0
Cell Ranger	2007	0
Cell Ranger	2008	0
Cell Ranger	2009	0
Cell Ranger	2010	0
Cell Ranger	2011	0
Cell Ranger	2012	0
Cell Ranger	2013	0
Cell Ranger	2014	0
Cell Ranger	2015	0
Cell Ranger	2016	0
Cell Ranger	2017	9
Cell Ranger	2018	68
Cell Ranger	2019	185
Cell Ranger	2020	513
Cell Ranger	2021	928
Cell Ranger	2022	1438
Cell Ranger	2023	1815
Cell Ranger	2024	2271
Cell Ranger	2025	2674
CellBender	2000	0
CellBender	2001	0
CellBender	2002	0
CellBender	2003	0
CellBender	2004	0
CellBender	2005	0
CellBender	2006	0
CellBender	2007	0
CellBender	2008	0
CellBender	2009	0
CellBender	2010	0
CellBender	2011	0
CellBender	2012	0
CellBender	2013	0
CellBender	2014	0
CellBender	2015	0
CellBender	2016	0
CellBender	2017	0
CellBender	2018	0
CellBender	2019	0
CellBender	2020	3
CellBender	2021	14
CellBender	2022	26
CellBender	2023	78
CellBender	2024	144
CellBender	2025	199
CellChat	2000	0
CellChat	2001	0
CellChat	2002	0
CellChat	2003	0
CellChat	2004	0
CellChat	2005	0
CellChat	2006	0
CellChat	2007	0
CellChat	2008	0
CellChat	2009	0
CellChat	2010	0
CellChat	2011	0
CellChat	2012	0
CellChat	2013	0
CellChat	2014	0
CellChat	2015	0
CellChat	2016	0
CellChat	2017	0
CellChat	2018	0
CellChat	2019	0
CellChat	2020	2
CellChat	2021	73
CellChat	2022	374
CellChat	2023	870
CellChat	2024	1677
CellChat	2025	2600
CellOracle	2000	0
CellOracle	2001	0
CellOracle	2002	0
CellOracle	2003	0
CellOracle	2004	0
CellOracle	2005	0
CellOracle	2006	0
CellOracle	2007	0
CellOracle	2008	0
CellOracle	2009	0
CellOracle	2010	0
CellOracle	2011	0
CellOracle	2012	0
CellOracle	2013	0
CellOracle	2014	0
CellOracle	2015	0
CellOracle	2016	0
CellOracle	2017	0
CellOracle	2018	0
CellOracle	2019	0
CellOracle	2020	0
CellOracle	2021	5
CellOracle	2022	12
CellOracle	2023	40
CellOracle	2024	57
CellOracle	2025	61
CellPhoneDB	2000	0
CellPhoneDB	2001	0
CellPhoneDB	2002	0
CellPhoneDB	2003	0
CellPhoneDB	2004	0
CellPhoneDB	2005	0
CellPhoneDB	2006	0
CellPhoneDB	2007	0
CellPhoneDB	2008	0
CellPhoneDB	2009	0
