journal	year	n_articles
Bioinformatics (Oxford, England)	2013	1
Bioinformatics (Oxford, England)	2015	3
Bioinformatics (Oxford, England)	2016	6
Bioinformatics (Oxford, England)	2017	13
Bioinformatics (Oxford, England)	2018	14
Bioinformatics (Oxford, England)	2019	34
Bioinformatics (Oxford, England)	2020	51
Bioinformatics (Oxford, England)	2021	50
Bioinformatics (Oxford, England)	2022	59
Bioinformatics (Oxford, England)	2023	40
Bioinformatics (Oxford, England)	2024	56
Bioinformatics (Oxford, England)	2025	48
Briefings in bioinformatics	2017	1
Briefings in bioinformatics	2019	3
Briefings in bioinformatics	2020	5
Briefings in bioinformatics	2021	50
Briefings in bioinformatics	2022	65
Briefings in bioinformatics	2023	69
Briefings in bioinformatics	2024	98
Briefings in bioinformatics	2025	64
Genome biology	2013	2
Genome biology	2014	1
Genome biology	2015	10
Genome biology	2016	17
Genome biology	2017	11
Genome biology	2018	18
Genome biology	2019	26
Genome biology	2020	35
Genome biology	2021	33
Genome biology	2022	29
Genome biology	2023	39
Genome biology	2024	39
Genome biology	2025	37
Genome research	2011	1
Genome research	2014	3
Genome research	2015	1
Genome research	2016	2
Genome research	2017	4
Genome research	2018	8
Genome research	2019	2
Genome research	2020	9
Genome research	2021	15
Genome research	2022	6
Genome research	2023	13
Genome research	2024	13
Genome research	2025	18
Nature biotechnology	2014	2
Nature biotechnology	2015	3
Nature biotechnology	2016	5
Nature biotechnology	2017	1
Nature biotechnology	2018	8
Nature biotechnology	2019	7
Nature biotechnology	2020	18
Nature biotechnology	2021	15
Nature biotechnology	2022	19
Nature biotechnology	2023	7
Nature biotechnology	2024	14
Nature biotechnology	2025	9
Nature methods	2013	1
Nature methods	2014	3
Nature methods	2015	1
Nature methods	2016	1
Nature methods	2017	12
Nature methods	2018	9
Nature methods	2019	13
Nature methods	2020	8
Nature methods	2021	6
Nature methods	2022	11
Nature methods	2023	14
Nature methods	2024	15
Nature methods	2025	19
Nucleic acids research	2014	1
Nucleic acids research	2015	2
Nucleic acids research	2016	4
Nucleic acids research	2017	9
Nucleic acids research	2018	7
Nucleic acids research	2019	22
Nucleic acids research	2020	16
Nucleic acids research	2021	25
Nucleic acids research	2022	36
Nucleic acids research	2023	24
Nucleic acids research	2024	18
Nucleic acids research	2025	45
PLoS computational biology	2014	1
PLoS computational biology	2015	1
PLoS computational biology	2016	1
PLoS computational biology	2017	1
PLoS computational biology	2018	7
PLoS computational biology	2019	8
PLoS computational biology	2020	9
PLoS computational biology	2021	19
PLoS computational biology	2022	21
PLoS computational biology	2023	10
PLoS computational biology	2024	22
PLoS computational biology	2025	31
