journal	year	n_articles
Bioinformatics (Oxford, England)	2004	1
Bioinformatics (Oxford, England)	2011	1
Bioinformatics (Oxford, England)	2015	3
Bioinformatics (Oxford, England)	2016	2
Bioinformatics (Oxford, England)	2017	2
Bioinformatics (Oxford, England)	2018	5
Bioinformatics (Oxford, England)	2019	11
Bioinformatics (Oxford, England)	2020	7
Bioinformatics (Oxford, England)	2021	20
Bioinformatics (Oxford, England)	2022	22
Bioinformatics (Oxford, England)	2023	28
Bioinformatics (Oxford, England)	2024	43
Bioinformatics (Oxford, England)	2025	40
Briefings in bioinformatics	2016	1
Briefings in bioinformatics	2017	1
Briefings in bioinformatics	2018	1
Briefings in bioinformatics	2019	1
Briefings in bioinformatics	2020	3
Briefings in bioinformatics	2021	22
Briefings in bioinformatics	2022	21
Briefings in bioinformatics	2023	38
Briefings in bioinformatics	2024	79
Briefings in bioinformatics	2025	60
Genome biology	2012	1
Genome biology	2016	1
Genome biology	2017	1
Genome biology	2018	2
Genome biology	2019	1
Genome biology	2020	7
Genome biology	2021	11
Genome biology	2022	12
Genome biology	2023	15
Genome biology	2024	35
Genome biology	2025	47
Genome research	2011	1
Genome research	2017	1
Genome research	2018	1
Genome research	2020	3
Genome research	2021	9
Genome research	2022	2
Genome research	2023	6
Genome research	2024	4
Genome research	2025	15
Nature biotechnology	2018	1
Nature biotechnology	2020	2
Nature biotechnology	2021	5
Nature biotechnology	2022	13
Nature biotechnology	2023	11
Nature biotechnology	2024	10
Nature biotechnology	2025	9
Nature methods	2016	1
Nature methods	2018	2
Nature methods	2019	4
Nature methods	2020	2
Nature methods	2021	9
Nature methods	2022	16
Nature methods	2023	13
Nature methods	2024	17
Nature methods	2025	30
Nucleic acids research	2008	1
Nucleic acids research	2014	2
Nucleic acids research	2016	2
Nucleic acids research	2018	1
Nucleic acids research	2019	4
Nucleic acids research	2020	10
Nucleic acids research	2021	8
Nucleic acids research	2022	23
Nucleic acids research	2023	24
Nucleic acids research	2024	24
Nucleic acids research	2025	56
PLoS computational biology	2014	1
PLoS computational biology	2015	1
PLoS computational biology	2017	2
PLoS computational biology	2019	3
PLoS computational biology	2020	3
PLoS computational biology	2021	9
PLoS computational biology	2022	7
PLoS computational biology	2023	5
PLoS computational biology	2024	7
PLoS computational biology	2025	19
